Date,Amount,Category,Description
2025-01-03,1240.00,Rent,January rent payment
2025-01-05,89.90,Utilities,Electricity and water bill
2025-01-07,45.00,Food,Grocery shopping
2025-01-12,65.00,Transport,Monthly subway pass
2025-01-14,120.00,Health,Doctor visit and prescription
2025-01-17,32.00,Entertainment,Netflix subscription
2025-01-21,230.00,Equipment,Office chair and desk lamp
2025-01-30,48.90,Food,Weekly groceries
2025-02-04,180.00,Marketing,Instagram ad campaign
2025-02-10,300.00,Salary,Freelancer payout
2025-02-18,109.00,Utilities,Internet upgrade fees
2025-02-24,40.00,Health,Fitness class
2025-02-27,155.00,Transport,Monthly car lease
2025-03-14,90.00,Shopping,Work clothes purchase
2025-03-20,31.50,Entertainment,Theatre show ticket
